step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
339,167270,678,0.04344038184523352,0.0,0.0,,,,,
340,167688,680,0.03707329091995444,0.5,0.5,,,,,
341,168090,682,0.03525951989384121,0.5,0.5,,,,,
342,168332,684,0.03763172351382794,0.5,0.5,,,,,
343,168654,686,0.02712231814432926,1.0,1.0,,,,,
344,169168,688,0.03692092537847998,0.5,0.5,,,,,
345,169666,690,0.03638848615454927,0.5,0.5,0.026868012925628727,0.5,0.5,,
346,170068,692,0.03940170602980506,0.0,0.0,,,,,
347,170518,694,0.03270883528899438,0.5,0.5,,,,,
348,170888,696,0.03551272348506324,0.0,0.0,,,,,
349,171226,698,0.042361491330151956,0.5,0.5,,,,,
350,171724,700,0.03107281405525833,0.5,0.5,,,,,
351,172030,702,0.030296288412174414,0.0,0.0,,,,,
352,172496,704,0.031100748986883163,0.5,0.5,,,,,
353,173010,706,0.028659626821190897,1.0,1.0,0.045885216251781026,0.0,0.0,,
354,173524,708,0.027928902917774397,0.0,0.0,,,,,
355,173926,710,0.027712135942940953,1.0,1.0,,,,,
356,174200,712,0.040426207700374486,0.5,0.5,,,,,
357,174538,714,0.03231238356165704,0.5,0.5,,,,,
358,175068,716,0.03609749829317011,0.5,0.5,,,,,
359,175534,718,0.027924860666084735,0.5,0.5,,,,,
360,176176,720,0.02332057629185607,0.0,0.0,,,,,
361,176658,722,0.027013018873156398,0.5,0.5,0.038368839852636304,0.0,0.0,,
362,177412,724,0.022788772200510725,0.5,0.5,,,,,
363,177830,726,0.03391847643136946,0.5,0.5,,,,,
364,178248,728,0.031098523782943983,1.0,1.0,,,,,
365,178666,730,0.03730952313210274,0.0,0.0,,,,,
366,179068,732,0.028317980280652414,1.0,1.0,,,,,
367,179614,734,0.025074348769504626,1.0,1.0,,,,,
368,180096,736,0.03175984494377341,0.5,0.5,,,,,
369,180354,738,0.03730660281284713,0.5,0.5,0.022499491767372818,1.0,1.0,,
370,180852,740,0.031126317424892008,0.5,0.5,,,,,
371,181350,742,0.03270601440816057,0.0,0.0,,,,,
372,181720,744,0.03150275236302664,0.0,0.0,,,,,
373,182122,746,0.03574486769167706,0.0,0.0,,,,,
374,182476,748,0.02621604655763804,1.0,1.0,,,,,
375,182974,750,0.02145114456334047,1.0,1.0,,,,,
376,183520,752,0.02658255377636712,1.0,1.0,,,,,
377,183906,754,0.028797015716011936,1.0,1.0,0.04050654596668686,0.0,0.0,,
378,184628,756,0.023951619207083788,1.0,1.0,,,,,
379,185142,758,0.01756962693100292,1.0,1.0,,,,,
380,185528,760,0.037408647489971074,0.5,0.5,,,,,
381,185994,762,0.02304636040931216,1.0,1.0,,,,,
382,186396,764,0.03421692526145089,0.5,0.5,,,,,
383,186926,766,0.030128358021010524,1.0,1.0,,,,,
384,187280,768,0.03417973970953674,0.5,0.5,,,,,
385,188130,770,0.025890718982052856,0.5,0.5,0.038475812774161754,0.0,0.0,,
386,188772,772,0.029386750954069157,1.0,1.0,,,,,
387,189190,774,0.033164972653867156,0.5,0.5,,,,,
388,189592,776,0.03524471076923946,0.5,0.5,,,,,
